store_name,map_ID
봄봄,1443512662
매머드 커피,2063173274
스타벅스,10538394
케이크팝,548840517
투썸,732848562
커피온리,1151095578
니키카페,637039020
커피나무,26787519
요거프레소,13138853
이디아,9320475
공유,2009982842
초심,446274396
이은,1877142772
샤로스톤,401147725
스톤504,27246678
뚝배기파스타,15798534
더키친,13332069
맥도날드,26357892
밀플랜비,1678495708
은화수식당,277267712
내가찜한닭,282913682
브리또집,1876069886
크라이치즈버거,529266411
고기스토리,16536338
아키라,1386335308
고향삼계탕,12365682
김가네,811836060
논두렁갈비,16090971
먹돼지,1678078496
밀알식당,16071639
밥숯돌,2108459103
백채김치찌개,183653705
봉구스밥버거,19410746
설쌈냉면,1399466256
손칼국수,21332945
숭실골,22400687
신의주,1173922669
아영이네,14584402
이모네,13299645
더진국,1551465478
찌개대학부대과,15828747
추억과김밥,687252397
파라다이스,21423740
큰맘할매순대국,2064409100
지지고,14527548
롯데리아,18618543
bhc,1513026476
치킨매니아,13100258
리얼후라이,25811757
미쳐버린파닭,14920175
피자시대치킨시대,2037972387
피자스쿨,8612915
숯가마바베큐치킨,21423187
서브웨이,14564625
이삭토스트,9333340
취향,2088945904
연래춘,16708075
오니기리와이우동,16648102
아쯔다무라,1458223279
갓포탄,1571888333
우마이,506407615
멘동,17968198
신룽푸마라탕,1404781395
황궁쟁반짜장,15242774
강호경내과,8736830
아산바른내과의원,1294967840
유내과의원,13507877
에코이비인후과의원,17077546
동작성모이비인후과의원,1050419326
연세하늘치과의원,19120467
자작나무치과의원,11557071
경희봄빛한의원27179472,
인의한의원,9975130
삼성피부과산부인과의원,15253262
리코스타1호점,
리코스타2호점,250318842
엔터PC,http://kko.to/GePVCg0Dx
스카이브릿지,569352932
긱스타,1138265226
중문gs,12296995
중문 cu,1957730665
중문세븐,1397581059
정보대세븐,13120242
정보대 cu,19198582
숭입세븐,1585634717
숭입gs 4번,25757538
숭입gs 역안,21160725
숭입 cu,17051416